SRD_PRJ_ID,Description,Action Name,Manager Name,Estimated Cost,Council District,Treatment Category,Project Status,Last Update,Estimated Start Date,Actual Start Date,Construct Complete,Street Name,street_name_alt,city,state,address,lat,long
31765,WOODALL RODGERS SERV N TO HALLSVILLE ST,Slurry Seal,Christopher Lutz,2859.39,14,Preservation,Completed,12/9/2022,NA,12/2/2022,12/9/2022,2000 CLYDE LN,2000 CLYDE LN,Dallas,Texas,"2000 CLYDE LN, Dallas, TX",32.795311015483,-96.794558445539
31781,SAN JACINTO ST TO ROSS AVE,Slurry Seal,Christopher Lutz,3442.29,14,Preservation,Completed,12/9/2022,NA,12/2/2022,12/9/2022,1000 LIBERTY ST,1000 LIBERTY ST,Dallas,Texas,"1000 LIBERTY ST, Dallas, TX",32.792651017761,-96.790548404544
31800,VILLARS ST TO N WASHINGTON AVE,Slurry Seal,Christopher Lutz,6172.9,14,Preservation,Completed,12/9/2022,NA,12/2/2022,12/9/2022,3600-3700 SAN JACINTO ST,3650 SAN JACINTO ST,Dallas,Texas,"3650 SAN JACINTO ST, Dallas, TX",32.796533768618,-96.785777997151
31808,N CENTRAL SERV E TO BRYAN ST,Slurry Seal,Christopher Lutz,6149.66,14,Preservation,Completed,12/9/2022,NA,12/2/2022,12/9/2022,800 TEXAS ST,800 TEXAS ST,Dallas,Texas,"800 TEXAS ST, Dallas, TX",32.790030955766,-96.790236329426
30024,MAPLE ROUTH CONN to MCKINNEY AVE,Slurry Seal,Christopher Lutz,NA,14,Preservation,Completed,5/24/2023,NA,12/31/2022,5/18/2023,2300 LEONARD ST,2300 LEONARD ST,Dallas,Texas,"2300 LEONARD ST, Dallas, TX",32.793810983558,-96.800876034797
31304,SWISS AVE to LIVE OAK ST,Street Resurfacing+,Christopher Lutz,226361.1,14,Maintenance,Completed,5/3/2023,NA,2/9/2023,3/6/2023,1100 N HALL ST,1100 N HALL ST,Dallas,Texas,"1100 N HALL ST, Dallas, TX",32.790681023083,-96.783291274559
31229,N GOOD LATIMER EXPY to LIBERTY ST,Street Resurfacing,Christopher Lutz,229235.94,14,Maintenance,Completed,5/3/2023,NA,2/24/2023,3/31/2023,2600-2800 GASTON AVE,2700 GASTON AVE,Dallas,Texas,"2700 GASTON AVE, Dallas, TX",32.789050594257,-96.782743109993
31237,MAIN ST to PACIFIC AVE,Street Resurfacing,Christopher Lutz,0,14,Maintenance,Completed,5/31/2023,NA,3/23/2023,5/15/2023,100-200 N HARWOOD ST,150 N HARWOOD ST,Dallas,Texas,"150 N HARWOOD ST, Dallas, TX",32.782068285509,-96.794169568585
31238,MAIN ST to JACKSON ST,Street Resurfacing,Christopher Lutz,120085.74,14,Maintenance,Completed,5/31/2023,NA,3/24/2023,5/15/2023,100-200 S HARWOOD ST,150 S HARWOOD ST,Dallas,Texas,"150 S HARWOOD ST, Dallas, TX",32.781311985221,-96.793950449465
31873,COMMERCE ST to EOP,AOC,Adam Zaragoza,18214.7,2,Maintenance,Completed,9/28/2023,3/29/2023,3/29/2023,8/5/2023,3800 EAST SIDE AVE,3800 EAST SIDE AVE,Dallas,Texas,"3800 EAST SIDE AVE, Dallas, TX",32.785216998561,-96.772464270431
30105,S HILL AVE to S HASKELL AVE,Slurry Seal,Christopher Lutz,NA,2,Preservation,Completed,4/3/2023,NA,3/30/2023,3/30/2023,4000 EAST SIDE AVE,4000 EAST SIDE AVE,Dallas,Texas,"4000 EAST SIDE AVE, Dallas, TX",32.786901990318,-96.770481996597
30123,WOOD ST to YOUNG ST,Slurry Seal,Christopher Lutz,NA,2,Preservation,Completed,4/25/2023,NA,3/30/2023,4/21/2023,400 S GRIFFIN ST,400 S GRIFFIN ST,Dallas,Texas,"400 S GRIFFIN ST, Dallas, TX",32.777064988751,-96.801936010272
30114,N CARROLL AVE to N COLLETT AVE,Slurry Seal,Christopher Lutz,NA,2,Preservation,Completed,5/11/2023,NA,4/3/2023,5/5/2023,4500-4900 REIGER AVE,4700 REIGER AVE,Dallas,Texas,"4700 REIGER AVE, Dallas, TX",32.794519250011,-96.766823635796
31365,CRUTCHER ST to WORTH ST,Slurry Seal,Christopher Lutz,4296.19,2,Preservation,Completed,5/4/2023,NA,4/3/2023,5/3/2023,500 N HILL AVE,500 N HILL AVE,Dallas,Texas,"500 N HILL AVE, Dallas, TX",32.790390992955,-96.774867672596
31373,GASTON AVE to SWISS AVE,Slurry Seal,Christopher Lutz,5567.88,2,Preservation,Completed,5/31/2023,NA,4/3/2023,5/31/2023,900 MORELAND AVE,900 MORELAND AVE,Dallas,Texas,"900 MORELAND AVE, Dallas, TX",32.797450965319,-96.772716758485
31921,BOLL ST to EOP,Slurry Seal,Christopher Lutz,17069.87,14,Preservation,Completed,5/24/2023,NA,4/3/2023,5/19/2023,2700-3000 BRYAN ST,2850 BRYAN ST,Dallas,Texas,"2850 BRYAN ST, Dallas, TX",32.79065554757,-96.789284001072
31922,SWISS CIR to N HALL ST,Slurry Seal,Christopher Lutz,3131.04,14,Preservation,Completed,5/24/2023,NA,4/3/2023,5/22/2023,3300 SWISS CIR,3300 SWISS CIR,Dallas,Texas,"3300 SWISS CIR, Dallas, TX",32.790486008297,-96.78277003429
30017,OAK LAWN AVE to PUMP PLANT B RD,Slurry Seal,Christopher Lutz,NA,6,Preservation,Completed,5/18/2023,NA,4/4/2023,5/15/2023,1700-2200 IRVING BLVD,1950 IRVING BLVD,Dallas,Texas,"1950 IRVING BLVD, Dallas, TX",32.794699972605,-96.827326590189
28090,Thomas Ave to State St,Street Restoration,Antonio Montez,38291.81,14,Maintenance,Completed,9/19/2023,3/1/2022,4/12/2023,5/12/2023,2300 FAIRMOUNT ST,2300 FAIRMOUNT ST,Dallas,Texas,"2300 FAIRMOUNT ST, Dallas, TX",32.793911038179,-96.800419562996
28265,COLUMBUS ST to BOLL ST,Enhanced Partial,Antonio Montez,31209.76,14,Maintenance,Completed,9/19/2023,NA,4/13/2023,4/28/2023,2600 COLBY ST,2600 COLBY ST,Dallas,Texas,"2600 COLBY ST, Dallas, TX",32.794117825438,-96.798415081123
28281,THOMAS AVE to EOP,Enhanced Partial,Antonio Montez,20146.91,14,Maintenance,Completed,9/19/2023,NA,4/13/2023,5/2/2023,2200 WORTHINGTON ST,2200 WORTHINGTON ST,Dallas,Texas,"2200 WORTHINGTON ST, Dallas, TX",32.795331015101,-96.797330677936
31291,S HARWOOD ST to S PEARL EXPY,Street Resurfacing+,Christopher Lutz,157003.86,14,Maintenance,Completed,5/31/2023,NA,5/8/2023,5/15/2023,2000 COMMERCE ST,2000 COMMERCE ST,Dallas,Texas,"2000 COMMERCE ST, Dallas, TX",32.78090677673,-96.793898472825
31226,CANTEGRAL ST to LIBERTY ST,Street Resurfacing,Christopher Lutz,107301.01,14,Maintenance,Completed,7/5/2023,NA,5/16/2023,6/12/2023,2700-2800 FLORENCE ST,2750 FLORENCE ST,Dallas,Texas,"2750 FLORENCE ST, Dallas, TX",32.787864320744,-96.788071986389
30987,HALLSVILLE ST to THOMAS AVE,Partial Reconstruction,David Branch,36375.83,14,Maintenance,Completed,6/26/2023,5/19/2023,5/19/2023,6/20/2023,2200 CLARK ST,2200 CLARK ST,Dallas,Texas,"2200 CLARK ST, Dallas, TX",32.796989018047,-96.795646395999
31219,N ERVAY ST to N HARWOOD ST,Street Resurfacing,Christopher Lutz,226570.54,14,Maintenance,Completed,8/29/2023,NA,5/30/2023,7/12/2023,1700-1900 ELM ST,1800 ELM ST,Dallas,Texas,"1800 ELM ST, Dallas, TX",32.780934668505,-96.801839266341
31220,N PEARL EXPY to N CESAR CHAVEZ BLVD,Street Resurfacing,Christopher Lutz,86880.82,14,Maintenance,Completed,8/29/2023,NA,5/30/2023,7/12/2023,2200 ELM ST,2200 ELM ST,Dallas,Texas,"2200 ELM ST, Dallas, TX",32.780940975111,-96.801810446923
30137,EOP to S HILL AVE,Slurry Seal,Christopher Lutz,NA,2,Preservation,Completed,7/19/2023,NA,6/1/2023,6/15/2023,3900 WILLOW ST,3900 WILLOW ST,Dallas,Texas,"3900 WILLOW ST, Dallas, TX",32.785787993477,-96.770391974957
31386,EOP to S HILL AVE,Slurry Seal,Christopher Lutz,4916.07,2,Preservation,Completed,7/17/2023,NA,6/1/2023,6/15/2023,3900 WILLOW ST,3900 WILLOW ST,Dallas,Texas,"3900 WILLOW ST, Dallas, TX",32.785787993477,-96.770391974957
32993,N WASHINGTON AVE to N HASKELL AVE,Slurry Seal,Christopher Lutz,NA,2,Preservation,Completed,7/10/2023,NA,6/1/2023,6/5/2023,3900-4000 SIMPSON ST,3950 SIMPSON ST,Dallas,Texas,"3950 SIMPSON ST, Dallas, TX",32.78905269093,-96.774221393741
31302,ELM ST to SAN JACINTO ST,Street Resurfacing+,Christopher Lutz,230777.86,14,Maintenance,Completed,8/1/2023,NA,6/5/2023,7/13/2023,200-400 N GRIFFIN ST,300 N GRIFFIN ST,Dallas,Texas,"300 N GRIFFIN ST, Dallas, TX",32.781436018126,-96.803214079828
31311,MAIN ST to ROSS AVE,Street Resurfacing+,Christopher Lutz,321368.4,14,Maintenance,Completed,9/14/2023,NA,6/12/2023,8/29/2023,100-400 N LAMAR ST,250 N LAMAR ST,Dallas,Texas,"250 N LAMAR ST, Dallas, TX",32.780650726527,-96.804476848794
31454,N GOOD LATIMER EXPY to CANTEGRAL ST,Street Rehabilitation,Jerry Williams,38884.29,14,Maintenance,Completed,8/16/2023,5/29/2023,8/2/2023,8/15/2023,2600 MIRANDA ST,2600 MIRANDA ST,Dallas,Texas,"2600 MIRANDA ST, Dallas, TX",32.785952729221,-96.788363677204
31069,MAIN ST to ST LOUIS ST,AOC Global,Antonio Montez,845098.49,2,Maintenance,Completed,10/24/2023,NA,10/2/2023,10/24/2023,100-400 S MALCOLM X BLVD,250 S MALCOLM X BLVD,Dallas,Texas,"250 S MALCOLM X BLVD, Dallas, TX",32.78291831901,-96.78175731566
